Y1
2016-01-04	-1.9414666
2016-01-05	-1.9508955
2016-01-06	-1.8305595
2016-01-07	-1.7064216
2016-01-08	-1.8192921
2016-01-11	-1.4476647
2016-01-12	-1.4816031
2016-01-13	-1.3362824
2016-01-14	-1.5427165
2016-01-15	-1.2158698
2016-01-18	-1.250512
2016-01-19	-1.5427165
2016-01-20	-1.3773309
2016-01-21	-1.0964346
2016-01-22	-1.1894902
2016-01-25	-1.250512
2016-01-26	-0.48514187
2016-01-27	-0.42806518
2016-01-28	-0.07449198
2016-01-29	-0.5098717
2016-02-01	-0.29164064
2016-02-02	-0.58415544
2016-02-03	-0.51375985
2016-02-04	-0.684484
2016-02-05	-0.59179175
2016-02-15	-0.51375985
2016-02-16	-0.9039575
2016-02-17	-1.002616
2016-02-18	-0.96965957
2016-02-19	-0.95655596
2016-02-22	-1.2129884
2016-02-23	-1.1034989
2016-02-24	-1.185222
2016-02-25	-0.3777237
2016-02-26	-0.5142158
2016-02-29	-0.17158222
2016-03-01	-0.44499624
2016-03-02	-0.9581405
2016-03-03	-0.9863275
2016-03-04	-1.1301596
2016-03-07	-1.1654445
2016-03-08	-1.1875259
2016-03-09	-1.0577492
2016-03-10	-0.81255376
2016-03-11	-0.7976079
2016-03-14	-1.0047325
2016-03-15	-1.0657405
2016-03-16	-1.10884
2016-03-17	-1.2341655
2016-03-18	-1.3770623
2016-03-21	-1.5789816
2016-03-22	-1.5421994
2016-03-23	-1.5406497
2016-03-24	-1.432842
2016-03-25	-1.4630839
2016-03-28	-1.3770623
2016-03-29	-1.2686918
2016-03-30	-1.4794258
2016-03-31	-1.539614
2016-04-01	-1.5406172
2016-04-05	-1.6333692
2016-04-06	-1.6318791
2016-04-07	-1.4792185
2016-04-08	-1.4326347
2016-04-11	-1.5386682
2016-04-12	-1.5386872
2016-04-13	-1.6311598
2016-04-14	-1.6614907
2016-04-15	-1.6630797
2016-04-18	-1.5386872
2016-04-19	-1.5723903
2016-04-20	-1.4351432
2016-04-21	-1.3387116
2016-04-22	-1.3769406
2016-04-25	-1.3656311
2016-04-26	-1.4351432
2016-04-27	-1.3701359
2016-04-28	-1.3385899
